episode,match_label,player1_policy,player2_policy,player1_model,player2_model,player1_agent,player2_agent,player1_total_reward,player2_total_reward,reward_difference_p1_minus_p2,player1_actions,player2_actions,result
36,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
37,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
38,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
39,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
40,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
41,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
42,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
43,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
44,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
45,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,4.0,-4.0,8.0,1785,1785,player1_win
46,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
47,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
48,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
49,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
50,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
