episode,agent,algorithm,model_path,total_reward,steps,result
1,DQN 500k,DQN,models\dqn_boxing_500k.zip,4.0,442,win
2,DQN 500k,DQN,models\dqn_boxing_500k.zip,2.0,435,win
3,DQN 500k,DQN,models\dqn_boxing_500k.zip,7.0,437,win
4,DQN 500k,DQN,models\dqn_boxing_500k.zip,4.0,436,win
5,DQN 500k,DQN,models\dqn_boxing_500k.zip,20.0,284,win
6,DQN 500k,DQN,models\dqn_boxing_500k.zip,41.0,224,win
7,DQN 500k,DQN,models\dqn_boxing_500k.zip,24.0,439,win
8,DQN 500k,DQN,models\dqn_boxing_500k.zip,20.0,319,win
9,DQN 500k,DQN,models\dqn_boxing_500k.zip,40.0,367,win
10,DQN 500k,DQN,models\dqn_boxing_500k.zip,3.0,437,win
11,DQN 500k,DQN,models\dqn_boxing_500k.zip,10.0,438,win
12,DQN 500k,DQN,models\dqn_boxing_500k.zip,13.0,436,win
13,DQN 500k,DQN,models\dqn_boxing_500k.zip,14.0,440,win
14,DQN 500k,DQN,models\dqn_boxing_500k.zip,23.0,439,win
15,DQN 500k,DQN,models\dqn_boxing_500k.zip,10.0,436,win
16,DQN 500k,DQN,models\dqn_boxing_500k.zip,5.0,437,win
17,DQN 500k,DQN,models\dqn_boxing_500k.zip,1.0,442,win
18,DQN 500k,DQN,models\dqn_boxing_500k.zip,9.0,438,win
19,DQN 500k,DQN,models\dqn_boxing_500k.zip,10.0,441,win
20,DQN 500k,DQN,models\dqn_boxing_500k.zip,12.0,439,win
21,DQN 500k,DQN,models\dqn_boxing_500k.zip,15.0,438,win
22,DQN 500k,DQN,models\dqn_boxing_500k.zip,8.0,436,win
23,DQN 500k,DQN,models\dqn_boxing_500k.zip,5.0,436,win
24,DQN 500k,DQN,models\dqn_boxing_500k.zip,13.0,437,win
25,DQN 500k,DQN,models\dqn_boxing_500k.zip,6.0,441,win
26,DQN 500k,DQN,models\dqn_boxing_500k.zip,11.0,438,win
27,DQN 500k,DQN,models\dqn_boxing_500k.zip,17.0,441,win
28,DQN 500k,DQN,models\dqn_boxing_500k.zip,16.0,420,win
29,DQN 500k,DQN,models\dqn_boxing_500k.zip,8.0,442,win
30,DQN 500k,DQN,models\dqn_boxing_500k.zip,5.0,437,win
31,DQN 500k,DQN,models\dqn_boxing_500k.zip,1.0,441,win
32,DQN 500k,DQN,models\dqn_boxing_500k.zip,1.0,439,win
33,DQN 500k,DQN,models\dqn_boxing_500k.zip,10.0,441,win
34,DQN 500k,DQN,models\dqn_boxing_500k.zip,-3.0,435,loss
35,DQN 500k,DQN,models\dqn_boxing_500k.zip,29.0,392,win
36,DQN 500k,DQN,models\dqn_boxing_500k.zip,21.0,438,win
37,DQN 500k,DQN,models\dqn_boxing_500k.zip,7.0,440,win
38,DQN 500k,DQN,models\dqn_boxing_500k.zip,8.0,437,win
39,DQN 500k,DQN,models\dqn_boxing_500k.zip,21.0,359,win
40,DQN 500k,DQN,models\dqn_boxing_500k.zip,18.0,439,win
41,DQN 500k,DQN,models\dqn_boxing_500k.zip,5.0,440,win
42,DQN 500k,DQN,models\dqn_boxing_500k.zip,7.0,438,win
43,DQN 500k,DQN,models\dqn_boxing_500k.zip,0.0,440,draw
44,DQN 500k,DQN,models\dqn_boxing_500k.zip,10.0,436,win
45,DQN 500k,DQN,models\dqn_boxing_500k.zip,2.0,435,win
46,DQN 500k,DQN,models\dqn_boxing_500k.zip,0.0,437,draw
47,DQN 500k,DQN,models\dqn_boxing_500k.zip,4.0,440,win
48,DQN 500k,DQN,models\dqn_boxing_500k.zip,22.0,235,win
49,DQN 500k,DQN,models\dqn_boxing_500k.zip,8.0,440,win
50,DQN 500k,DQN,models\dqn_boxing_500k.zip,20.0,411,win
