episode,agent,algorithm,model_path,total_reward,steps,result
1,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,44.0,231,win
2,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,27.0,385,win
3,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,29.0,371,win
4,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,46.0,324,win
5,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,28.0,355,win
6,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,41.0,311,win
7,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,43.0,263,win
8,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,50.0,240,win
9,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,27.0,316,win
10,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,35.0,248,win
11,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,32.0,361,win
12,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,22.0,371,win
13,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,26.0,346,win
14,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,26.0,396,win
15,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,30.0,366,win
16,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,42.0,351,win
17,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,16.0,442,win
18,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,29.0,315,win
19,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,20.0,320,win
20,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,49.0,270,win
21,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,6.0,438,win
22,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,28.0,363,win
23,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,24.0,316,win
24,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,17.0,406,win
25,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,34.0,305,win
26,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,48.0,283,win
27,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,40.0,354,win
28,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,43.0,314,win
29,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,24.0,423,win
30,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,32.0,291,win
31,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,33.0,347,win
32,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,39.0,335,win
33,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,28.0,361,win
34,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,8.0,435,win
35,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,28.0,390,win
36,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,22.0,371,win
37,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,37.0,342,win
38,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,38.0,300,win
39,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,40.0,339,win
40,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,15.0,408,win
41,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,24.0,375,win
42,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,24.0,438,win
43,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,29.0,380,win
44,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,33.0,345,win
45,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,21.0,435,win
46,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,34.0,299,win
47,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,45.0,341,win
48,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,17.0,326,win
49,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,47.0,295,win
50,DQN 1000k,DQN,models\dqn_boxing_1000k.zip,25.0,392,win
