episode,agent,algorithm,model_path,total_reward,steps,result
1,DQN 250k,DQN,models\dqn_boxing_250k.zip,11.0,442,win
2,DQN 250k,DQN,models\dqn_boxing_250k.zip,0.0,435,draw
3,DQN 250k,DQN,models\dqn_boxing_250k.zip,6.0,437,win
4,DQN 250k,DQN,models\dqn_boxing_250k.zip,11.0,436,win
5,DQN 250k,DQN,models\dqn_boxing_250k.zip,4.0,442,win
6,DQN 250k,DQN,models\dqn_boxing_250k.zip,14.0,438,win
7,DQN 250k,DQN,models\dqn_boxing_250k.zip,-6.0,439,loss
8,DQN 250k,DQN,models\dqn_boxing_250k.zip,12.0,435,win
9,DQN 250k,DQN,models\dqn_boxing_250k.zip,20.0,440,win
10,DQN 250k,DQN,models\dqn_boxing_250k.zip,5.0,437,win
11,DQN 250k,DQN,models\dqn_boxing_250k.zip,4.0,438,win
12,DQN 250k,DQN,models\dqn_boxing_250k.zip,1.0,436,win
13,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,440,win
14,DQN 250k,DQN,models\dqn_boxing_250k.zip,9.0,439,win
15,DQN 250k,DQN,models\dqn_boxing_250k.zip,29.0,432,win
16,DQN 250k,DQN,models\dqn_boxing_250k.zip,22.0,437,win
17,DQN 250k,DQN,models\dqn_boxing_250k.zip,5.0,442,win
18,DQN 250k,DQN,models\dqn_boxing_250k.zip,4.0,438,win
19,DQN 250k,DQN,models\dqn_boxing_250k.zip,10.0,441,win
20,DQN 250k,DQN,models\dqn_boxing_250k.zip,12.0,439,win
21,DQN 250k,DQN,models\dqn_boxing_250k.zip,16.0,438,win
22,DQN 250k,DQN,models\dqn_boxing_250k.zip,10.0,436,win
23,DQN 250k,DQN,models\dqn_boxing_250k.zip,24.0,436,win
24,DQN 250k,DQN,models\dqn_boxing_250k.zip,18.0,437,win
25,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,441,win
26,DQN 250k,DQN,models\dqn_boxing_250k.zip,-1.0,438,loss
27,DQN 250k,DQN,models\dqn_boxing_250k.zip,10.0,441,win
28,DQN 250k,DQN,models\dqn_boxing_250k.zip,3.0,442,win
29,DQN 250k,DQN,models\dqn_boxing_250k.zip,5.0,442,win
30,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,437,win
31,DQN 250k,DQN,models\dqn_boxing_250k.zip,12.0,441,win
32,DQN 250k,DQN,models\dqn_boxing_250k.zip,16.0,439,win
33,DQN 250k,DQN,models\dqn_boxing_250k.zip,14.0,441,win
34,DQN 250k,DQN,models\dqn_boxing_250k.zip,20.0,435,win
35,DQN 250k,DQN,models\dqn_boxing_250k.zip,11.0,435,win
36,DQN 250k,DQN,models\dqn_boxing_250k.zip,17.0,438,win
37,DQN 250k,DQN,models\dqn_boxing_250k.zip,7.0,440,win
38,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,437,win
39,DQN 250k,DQN,models\dqn_boxing_250k.zip,7.0,435,win
40,DQN 250k,DQN,models\dqn_boxing_250k.zip,2.0,439,win
41,DQN 250k,DQN,models\dqn_boxing_250k.zip,10.0,440,win
42,DQN 250k,DQN,models\dqn_boxing_250k.zip,9.0,438,win
43,DQN 250k,DQN,models\dqn_boxing_250k.zip,21.0,440,win
44,DQN 250k,DQN,models\dqn_boxing_250k.zip,7.0,436,win
45,DQN 250k,DQN,models\dqn_boxing_250k.zip,1.0,435,win
46,DQN 250k,DQN,models\dqn_boxing_250k.zip,6.0,437,win
47,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,440,win
48,DQN 250k,DQN,models\dqn_boxing_250k.zip,13.0,439,win
49,DQN 250k,DQN,models\dqn_boxing_250k.zip,10.0,440,win
50,DQN 250k,DQN,models\dqn_boxing_250k.zip,16.0,442,win
